('QPV', 'QPV', 'Perisher Valley Bus', 'Bus Station', 'AU')
('QRM', 'QRM', 'Narromine', '', 'AU')
('QRR', 'QRR', 'Warren', '', 'AU')
('QRX', 'QRX', 'Narooma', '', 'AU')
('QTH', 'QTH', 'Thredbo Bus', 'Bus Station', 'AU')
('QTO', 'QTO', 'Skitube Bus', 'Bus Station', 'AU')
('QWL', 'QWL', 'Crackenback Bus', 'Bus Station', 'AU')
('QYN', 'QYN', 'Byron Bay', '', 'AU')
('QZC', 'QZC', 'Smiggin Holes Bus', 'Bus Station', 'AU')
('QZM', 'QZM', 'Bullocks Flat Bus', 'Bus Station', 'AU')
('RAM', 'RAM', 'Ramingining', '', 'AU')
('RBC', 'RBC', 'Robinvale', '', 'AU')
('RBS', 'RBS', 'Orbost', '', 'AU')
('RBU', 'RBU', 'Roebourne', '', 'AU')
('RCM', 'RCM', 'Richmond', '', 'AU')
('RCN', 'RCN', 'American River', '', 'AU')
('RDA', 'RDA', 'Rockhampton Downs', '', 'AU')
('RHL', 'RHL', 'Roy Hill', '', 'AU')
('RKY', 'RKY', 'Rokeby', '', 'AU')
('RLP', 'RLP', 'Rosella Plains', '', 'AU')
('RMA', 'RMA', 'Roma, QLD', '', 'AU')
('RMK', 'RMK', 'Renmark', '', 'AU')
('ROH', 'ROH', 'Robinhood', '', 'AU')
('ROK', 'ROK', 'Rockhampton', '', 'AU')
('RPB', 'RPB', 'Roper Bar', '', 'AU')
('RPM', 'RPM', 'Ngukurr', '', 'AU')
('RPV', 'RPV', 'Roper Valley', '', 'AU')
